placekey,safegraph_place_id,location_name,street_address,city,naics_code,latitude,longitude,postal_code
222-222@63f-rvw-5fz,sg:28f9990c34a24f33bcf99f7f03482355,Precision Glass,780 Radford St,Christiansburg,238150,37.127051,-80.42330600000001,24073
223-222@63f-yc3-mzf,sg:72f93d42072742a8b4bedeced2bf7a06,Carilion Clinic Plastic and Reconstructive Surgery Blacksburg,817 Davis St Ste 2,Blacksburg,621111,37.186659999999996,-80.414146,24060
zzw-222@63f-s4t-5fz,sg:f466047f5adf4de69feedaca3fdc606b,The Car Doctors,927 W Main St,Radford,811111,37.128462,-80.58531500000001,24141
224-222@63r-syb-zvf,sg:274199d3d3504474aca6e0eb08d99504,Integrated Sports Medicine & Physical Therapy,19500 Sandridge Way Ste 230,Lansdowne,621340,39.076214,-77.480354,20176
229-222@63f-rw3-3h5,sg:2cf3ef7625114cf3b898e93f29c0d4b6,Childress Insurance Agency,46 W Main St,Christiansburg,524210,37.128969,-80.40954,24073
223-222@63f-yc2-py9,sg:85a1dce34a794821963c882ec7f3349a,Domino's Pizza,426 Peppers Fry Rd NW,Christiansburg,722513,37.161776,-80.432277,24073
222-222@63f-yc2-d7q,sg:97b7ddc3493841f6890db56bfdb890e7,The Farmhouse Restaurant,285 Ridinger St,Christiansburg,722511,37.153422,-80.421832,24073
zzw-223@63f-wht-tvz,sg:21dbfb6118664d37898942f272e9ea4e,Boys & Girls Clubs of America,4179 Oldtown Rd,Shawsville,624110,37.172579999999996,-80.247794,24162
222-222@63f-s36-yvz,sg:9ffbe703f734422bb7e5ab38949a9059,Exxon Mobil,5149 State Park Rd,Dublin,447110,37.085291,-80.651168,24084
zzz-222@63f-yb6-c3q,sg:b4b9c31aa15c429d9aa6b54171ba4f10,Haven Heights Park,Milton Lane & Haven Dr,Radford,712190,37.130069,-80.544028,24141
222-222@63r-srr-nnq,sg:ce999d5be6a24041802e8f3a709e1b7d,Capital One,401 E Market St,Leesburg,522110,39.110119,-77.55544300000001,20176
zzw-222@63f-rvr-9fz,sg:f06c1472012f43238a23610fe6d915eb,Faith Christian Church,305 Phlegar St,Christiansburg,813110,37.124515,-80.409876,24073
222-223@63f-ykr-bx5,sg:0360852eab7f4616b7bc9c14b4ac9344,Suzuki,7202 Lee Hwy,Fairlawn,441228,37.146762,-80.593025,24141
229-222@63r-sry-d5f,sg:25dbd2425e3c493ea8b675d2fcd9b2bd,Loudoun Abused Women's Shelter LAWS,105 E Market St,Leesburg,624221,39.114360999999995,-77.56281899999999,20176
zzy-222@63f-tx7-td9,sg:9215f3e63a184e99b976d5fe2c2ab0a6,Randall G Samples M D,5562 Cougar Trail Rd,Dublin,621111,37.09709,-80.718259,24084
22c-223@63f-yry-6x5,sg:dc7b38daa91645fb93289aa0e4d26017,7-Eleven,1350 N Main St,Blacksburg,445120,37.245967,-80.414612,24060
zzw-228@63r-srz-dy9,sg:80ba921d496b4dc88f202a79a1fd84b1,Gap,241 Fort Evans Rd NE Ste 601,Leesburg,448140,39.106912,-77.538471,20176
224-222@63r-ss2-35z,sg:63b33eaa43d54ad283e3f87580477127,Cicis,500 Fort Evans Rd Unit 1A,Leesburg,722513,39.108034,-77.530929,20176
227-222@63r-ss2-45f,sg:c9917902450c4da787a655fb34d15870,Century 21 Real Estate,540 Fort Evans Rd Ste 303,Leesburg,531210,39.106454,-77.52691899999999,20176
222-222@63r-srf-p7q,sg:1447444b4a054cbbba8a2cd4b084b476,Eagle AG,40337 Spectacular Bid Pl,Leesburg,517312,39.156473,-77.607846,20176
22t-222@63f-yb5-575,sg:0116fcc402e241df89a45040c0cba79a,BP,1800 E Main St,Radford,447110,37.141369,-80.556585,24141
222-223@63f-tx8-59f,sg:64cd15e52e5d486e92aadabaf462de63,Pulaski County Sr High,5414 Cougar Trail Rd,Dublin,611110,37.094489,-80.71863,24084
222-222@63f-yc3-m8v,sg:87bd071c14994d23a4995f8ec46bab71,LewisGale Physicians,825 Davis St,Merrimac,621111,37.187657,-80.414849,24060
