"","ct2021","cbg2019","Geographic.Area.Name","Total.population","Median.age..years.","Sex.ratio..males.per.100.females.","X65_and_over","Population.25.years.and.over","Bachelor.s.degree.or.higher","Hispanic.or.Latino","Income.below..25.000","Total.households","area","pop_density","White","any_black","prop_urban"
"1","51063920102","510639201022","Census Tract 9201.02, Floyd County, Virginia",3799,47.7,86.9,22.76914978,2721,21.8,9.739405107,24.3,1560,194982151,19.4838347,93.97209792,1.079231377,0
"2","51063920102","510639201021","Census Tract 9201.02, Floyd County, Virginia",3799,47.7,86.9,22.76914978,2721,21.8,9.739405107,24.3,1560,194982151,19.4838347,93.97209792,1.079231377,0
"3","51063920103","510639201012","Census Tract 9201.03, Floyd County, Virginia",4074,47.5,120.9,19.12125675,3239,26.4,0,19.4,1749,215852847,18.87396926,89.39617084,5.00736377,0
"4","51063920103","510639201011","Census Tract 9201.03, Floyd County, Virginia",4074,47.5,120.9,19.12125675,3239,26.4,0,19.4,1749,215852847,18.87396926,89.39617084,5.00736377,0
"5","51063920104","510639201013","Census Tract 9201.04, Floyd County, Virginia",2634,36,82.8,17.95747912,1684,20.5,0.873196659,29.5,997,101142320,26.04251119,96.46924829,1.670463174,0
"6","51063920201","510639202002","Census Tract 9202.01, Floyd County, Virginia",3426,53.4,110.6,27.23292469,2670,17.2,0,31.1,1527,262547386,13.04907298,99.32866316,0,0
"7","51063920201","510639202001","Census Tract 9202.01, Floyd County, Virginia",3426,53.4,110.6,27.23292469,2670,17.2,0,31.1,1527,262547386,13.04907298,99.32866316,0,0
"8","51063920202","510639202003","Census Tract 9202.02, Floyd County, Virginia",1833,53.9,80.1,32.89689034,1391,20.6,3.491543917,29.3,824,212060924,8.643742399,95.36279324,0,0
"9","51071930100","510719301002","Census Tract 9301, Giles County, Virginia",2109,50.1,91.4,27.78568042,1717,31.8,1.944049312,15.9,1024,168368323,12.5261092,98.90943575,0,0
"10","51071930100","510719301001","Census Tract 9301, Giles County, Virginia",2109,50.1,91.4,27.78568042,1717,31.8,1.944049312,15.9,1024,168368323,12.5261092,98.90943575,0,0
"11","51071930200","510719302002","Census Tract 9302, Giles County, Virginia",3502,48.1,120.9,21.78754997,2673,20.1,3.14106225,17,1474,294306024,11.89917879,95.05996573,0.913763564,0
"12","51071930200","510719302003","Census Tract 9302, Giles County, Virginia",3502,48.1,120.9,21.78754997,2673,20.1,3.14106225,17,1474,294306024,11.89917879,95.05996573,0.913763564,0
"13","51071930200","510719302001","Census Tract 9302, Giles County, Virginia",3502,48.1,120.9,21.78754997,2673,20.1,3.14106225,17,1474,294306024,11.89917879,95.05996573,0.913763564,0
"14","51071930300","510719303006","Census Tract 9303, Giles County, Virginia",5913,40,100.6,19.07661086,3992,16.8,0.507356672,20.4,2212,151013872,39.15534329,97.54777609,0.947065787,0.062676992
"15","51071930300","510719303001","Census Tract 9303, Giles County, Virginia",5913,40,100.6,19.07661086,3992,16.8,0.507356672,20.4,2212,151013872,39.15534329,97.54777609,0.947065787,0.062676992
"16","51071930300","510719303003","Census Tract 9303, Giles County, Virginia",5913,40,100.6,19.07661086,3992,16.8,0.507356672,20.4,2212,151013872,39.15534329,97.54777609,0.947065787,0.062676992
"17","51071930300","510719303002","Census Tract 9303, Giles County, Virginia",5913,40,100.6,19.07661086,3992,16.8,0.507356672,20.4,2212,151013872,39.15534329,97.54777609,0.947065787,0.062676992
"18","51071930300","510719303005","Census Tract 9303, Giles County, Virginia",5913,40,100.6,19.07661086,3992,16.8,0.507356672,20.4,2212,151013872,39.15534329,97.54777609,0.947065787,0.062676992
"19","51071930300","510719303004","Census Tract 9303, Giles County, Virginia",5913,40,100.6,19.07661086,3992,16.8,0.507356672,20.4,2212,151013872,39.15534329,97.54777609,0.947065787,0.062676992
"20","51071930400","510719304002","Census Tract 9304, Giles County, Virginia",5236,46.6,77.1,21.46676853,3769,16.4,2.291825821,23.7,2005,311518883,16.80796987,93.52559206,5.76776165,0.013495978
"21","51071930400","510719304004","Census Tract 9304, Giles County, Virginia",5236,46.6,77.1,21.46676853,3769,16.4,2.291825821,23.7,2005,311518883,16.80796987,93.52559206,5.76776165,0.013495978
"22","51071930400","510719304003","Census Tract 9304, Giles County, Virginia",5236,46.6,77.1,21.46676853,3769,16.4,2.291825821,23.7,2005,311518883,16.80796987,93.52559206,5.76776165,0.013495978
"23","51071930400","510719304001","Census Tract 9304, Giles County, Virginia",5236,46.6,77.1,21.46676853,3769,16.4,2.291825821,23.7,2005,311518883,16.80796987,93.52559206,5.76776165,0.013495978
"24","51121020100","511210201001","Census Tract 201, Montgomery County, Virginia",8832,19,130.9,0,15,46.7,5.910326087,NA,0,3315212,2664.083021,82.69927536,6.804800725,1.000424828
"25","51121020100","511210201002","Census Tract 201, Montgomery County, Virginia",8832,19,130.9,0,15,46.7,5.910326087,NA,0,3315212,2664.083021,82.69927536,6.804800725,1.000424828
"26","51121020201","511210202015","Census Tract 202.01, Montgomery County, Virginia",5390,22.6,96,6.419294991,2168,78.5,4.916512059,38.5,2037,5460172,987.1483902,69.51762523,2.708719852,1.000422219
"27","51121020201","511210202014","Census Tract 202.01, Montgomery County, Virginia",5390,22.6,96,6.419294991,2168,78.5,4.916512059,38.5,2037,5460172,987.1483902,69.51762523,2.708719852,1.000422219
"28","51121020201","511210202011","Census Tract 202.01, Montgomery County, Virginia",5390,22.6,96,6.419294991,2168,78.5,4.916512059,38.5,2037,5460172,987.1483902,69.51762523,2.708719852,1.000422219
"29","51121020201","511210202013","Census Tract 202.01, Montgomery County, Virginia",5390,22.6,96,6.419294991,2168,78.5,4.916512059,38.5,2037,5460172,987.1483902,69.51762523,2.708719852,1.000422219
"30","51121020201","511210202012","Census Tract 202.01, Montgomery County, Virginia",5390,22.6,96,6.419294991,2168,78.5,4.916512059,38.5,2037,5460172,987.1483902,69.51762523,2.708719852,1.000422219
"31","51121020202","511210202021","Census Tract 202.02, Montgomery County, Virginia",2904,44.2,72.2,32.36914601,2161,39.9,3.994490358,35.2,1456,5942396,488.6917668,75.51652893,17.49311295,1.000418251
"32","51121020301","511210203006","Census Tract 203.01, Montgomery County, Virginia",3651,22.4,80.7,7.34045467,1269,72.6,1.835113667,59.9,1317,1963513,1859.422372,76.17091208,6.053136127,1.000427646
"33","51121020301","511210203003","Census Tract 203.01, Montgomery County, Virginia",3651,22.4,80.7,7.34045467,1269,72.6,1.835113667,59.9,1317,1963513,1859.422372,76.17091208,6.053136127,1.000427646
"34","51121020301","511210203005","Census Tract 203.01, Montgomery County, Virginia",3651,22.4,80.7,7.34045467,1269,72.6,1.835113667,59.9,1317,1963513,1859.422372,76.17091208,6.053136127,1.000427646
"35","51121020301","511210203004","Census Tract 203.01, Montgomery County, Virginia",3651,22.4,80.7,7.34045467,1269,72.6,1.835113667,59.9,1317,1963513,1859.422372,76.17091208,6.053136127,1.000427646
"36","51121020302","511210203002","Census Tract 203.02, Montgomery County, Virginia",3579,36.2,136.1,11.73512154,2218,62.5,2.458787371,15.4,1272,28079508,127.4594982,85.02374965,0,0.288223643
"37","51121020302","511210203001","Census Tract 203.02, Montgomery County, Virginia",3579,36.2,136.1,11.73512154,2218,62.5,2.458787371,15.4,1272,28079508,127.4594982,85.02374965,0,0.288223643
"38","51121020401","511210204004","Census Tract 204.01, Montgomery County, Virginia",2849,21.2,186,0,203,63.1,6.563706564,83.1,759,576052,4945.734066,72.76237276,5.194805195,1.000429178
"39","51121020401","511210204005","Census Tract 204.01, Montgomery County, Virginia",2849,21.2,186,0,203,63.1,6.563706564,83.1,759,576052,4945.734066,72.76237276,5.194805195,1.000429178
"40","51121020402","511210204003","Census Tract 204.02, Montgomery County, Virginia",4179,22.2,142.8,8.088059344,1766,50.2,3.541517109,50.3,1334,2837206,1472.927944,83.2017229,8.207705193,1.000431845
