date,safegraph_place,visitor_home_cbg,number
2020-02-03,sg:7d5d49a3f0c747ff81961f20d4efe7f0,511210208002,4
2020-02-03,sg:7d5d49a3f0c747ff81961f20d4efe7f0,110010029002,4
2020-02-03,sg:27f74b873fd14278a3f8340865698fd8,511539014082,6
2020-02-03,sg:27f74b873fd14278a3f8340865698fd8,510131024003,4
2020-02-03,sg:27f74b873fd14278a3f8340865698fd8,511076110242,4
2020-02-03,sg:dde9ad1b8739420ab033397aa1bc290c,
2020-02-03,sg:f57c5bd356fe49b2aaa9b85ebfb72f06,511210207001,5
2020-02-03,sg:f57c5bd356fe49b2aaa9b85ebfb72f06,510872002022,4
2020-02-03,sg:f57c5bd356fe49b2aaa9b85ebfb72f06,511179302003,4
2020-02-03,sg:3622cbb8b7ff4780b0c0e59d4655305b,511210211001,4
2020-02-03,sg:3622cbb8b7ff4780b0c0e59d4655305b,511455001021,4
2020-02-03,sg:3622cbb8b7ff4780b0c0e59d4655305b,511210203005,4
2020-02-03,sg:3622cbb8b7ff4780b0c0e59d4655305b,511210204002,4
2020-02-03,sg:e4cf311fca554f289ab814d75617232e,510594208003,4
2020-02-03,sg:e4cf311fca554f289ab814d75617232e,511076110112,4
2020-02-03,sg:e4cf311fca554f289ab814d75617232e,511076106032,4
2020-02-03,sg:e4cf311fca554f289ab814d75617232e,511076105073,4
2020-02-03,sg:09fd88d83f6d4623878155f48802444f,511076101011,4
2020-02-03,sg:4c805d827ceb4ea19787fca6b2a877cf,
2020-02-03,sg:f86dd314df8d439f8cbd56a66da97c9a,
2020-02-03,sg:38c48f9e026b4facb107847b8e409a24,
2020-02-03,sg:45346f2791474a73910d01de47080688,
2020-02-03,sg:3c76d375210044768a62b72bd831f419,511076103002,4
2020-02-03,sg:d6886ba476ef4d728f1758f54ada3dd6,511210214004,4
2020-02-03,sg:d6886ba476ef4d728f1758f54ada3dd6,517750102004,4
2020-02-03,sg:d6886ba476ef4d728f1758f54ada3dd6,511210214002,4
2020-02-03,sg:31e56e33de414dcf99bef0e5849145a3,
2020-02-03,sg:2f9c1c82212c45cdbccbb15fd424150e,511076105033,5
2020-02-03,sg:344406d191204b9990339956aecec544,511076103002,5
2020-02-03,sg:344406d191204b9990339956aecec544,511076113002,4
2020-02-03,sg:344406d191204b9990339956aecec544,510594313002,4
2020-02-03,sg:344406d191204b9990339956aecec544,511076110092,4
